paper_id,author_id,author_name,institution_candidate,country_candidate,first_page_text_path
CVPR-2015-P0123,CVPR-2015-A000457,Stephan R. Richter,"Department of Computer Science, TU Darmstadt",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0123.txt
CVPR-2015-P0123,CVPR-2015-A000458,Stefan Roth,"Department of Computer Science, TU Darmstadt",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0123.txt
CVPR-2015-P0124,CVPR-2015-A000459,Jiwen Lu,"Advanced Digital Sciences Center, Singapore",Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0124.txt
CVPR-2015-P0124,CVPR-2015-A000460,Gang Wang,"Advanced Digital Sciences Center, Singapore | School of Electrical and Electronic Engineering, Nanyang Technological University, Singapore",Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0124.txt
CVPR-2015-P0124,CVPR-2015-A000461,Weihong Deng,"School of ICE, Beijing University of Posts and Telecommunications, Beijing, China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0124.txt
CVPR-2015-P0124,CVPR-2015-A000462,Pierre Moulin,"Advanced Digital Sciences Center, Singapore | Department of ECE, University of Illinois at Urbana-Champaign, Urbana, IL, USA",United States | Singapore,data/raw/cvpr/2015/first_pages/CVPR-2015-P0124.txt
CVPR-2015-P0124,CVPR-2015-A000463,Jie Zhou,"Department of Automation, Tsinghua University, Beijing, China",China,data/raw/cvpr/2015/first_pages/CVPR-2015-P0124.txt
CVPR-2015-P0125,CVPR-2015-A000464,Afshin Dehghan,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0125.txt
CVPR-2015-P0125,CVPR-2015-A000465,Yicong Tian,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0125.txt
CVPR-2015-P0125,CVPR-2015-A000466,Philip H. S. Torr,UNKNOWN,UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0125.txt
CVPR-2015-P0125,CVPR-2015-A000467,Mubarak Shah,"Center for Research in Computer Vision, University of Central Florida Department of Engineering Science, University of Oxford",UNKNOWN,data/raw/cvpr/2015/first_pages/CVPR-2015-P0125.txt
